"Ref","DeletionMark","Parent","Customer","Vendor","Employee","Opponent","ManagerSegment","ShipmentConfirmationsBeforeSalesInvoice","GoodsReceiptBeforePurchaseInvoice","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","False","","True","True","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099b","False","False","Ferron BP","","","Ferron BP TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1871","False","","True","False","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","True","False","Kalipso","","","Kalipso TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1872","False","","True","False","False","False","","False","False","Manager B","","","Manager B TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1873","False","","True","False","False","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","False","False","Lomaniti","","","Lomaniti TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf115bcc9c610","False","","False","False","True","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099c","False","False","Alexander Orlov","","","Alexander Orlov TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf115bcc9c611","False","","True","False","True","False","e1cib/data/Catalog.PartnerSegments?ref=aa78120ed92fbced11eaf116b327099b","False","False","Anna Petrova","","","Anna Petrova TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf115bcc9c612","False","","False","False","True","False","","False","False","David Romanov","","","David Romanov TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf115bcc9c613","False","","False","False","True","False","","False","False","Arina Brown","","","Arina Brown TR"
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf124a9ba086a","False","","True","True","False","False","","True","True","DFC","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf124a9ba086c","False","","True","True","False","False","","True","True","Big foot","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf126e999cc56","False","","True","True","False","False","","False","False","Lunch","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf126e999cc58","False","","True","True","False","False","","False","False","Maxim","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf1277d18ed7b","False","","True","True","False","False","","True","True","Nicoletta","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf1277d18ed7d","False","","False","True","False","False","","True","True","Veritas","","",""
"e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf12e233ba2b5","True","","True","False","False","False","","False","False","Delete","","",""
